smiles,150-10,200-10,300-10,150-20,200-20,300-20
CC1=CC(=CC(=C1N)C)Br,0.48,0.31,0.64,0.63,0.44,0.62
CC1=CC(Br)=C(Br)C=C1C,0.88,0.85,0.80,0.89,0.90,0.82
O=C1NC(=O)c2cc3C(=O)NC(=O)c3cc12,0.94,0.93,0.95,0.95,0.94,0.95
O=C(C1=CC=C(C)C(C)=C1)C2=CC=CC=C2,0.86,0.87,0.85,0.90,0.92,0.88
C12=NC3=CC=CC=C3C=C1C=CC=C2,0.86,0.84,0.84,0.92,0.87,0.87
COC1=C(Br)C=C(OC)C(Br)=C1,0.95,0.97,0.94,0.93,0.88,0.90
CC1=CC(=C(C=C1)C#N)N,0.33,0.32,0.38,0.50,0.58,0.57
C1=CC=C(C=C1)C(=O)O[C@H]([C@H](C(=O)O)OC(=O)C2=CC=CC=C2)C(=O)O,1.00,1.00,0.99,1.00,1.00,0.99
CC(C1=CC=C(C=C1)O)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,1.00,1.00,1.00,1.00,1.00,1.00
C1=CC(=CN=C1)CCCO,0.47,0.28,0.38,0.47,0.31,0.20
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,0.98,0.96,0.99,0.99,0.98,0.99
COC1=CC=C(C=C1)C=O,0.23,0.16,0.23,0.34,0.21,0.34
OCc1cc(O)cc(O)c1,0.67,0.68,0.70,0.77,0.78,0.78
CC1=CC(O)=CC(C)=C1N,0.86,0.80,0.77,0.68,0.70,0.63
CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,0.96,0.99,0.94,0.95,0.99,0.94
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,0.99,0.99,0.98,0.99,0.99,0.98
O=C1NC2=C(C=CC=C2F)C1=O,0.77,0.72,0.71,0.75,0.76,0.69
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,0.98,0.97,0.99,0.99,0.98,0.99
BrC1=CC=C(Br)O1,0.19,0.14,0.14,0.29,0.27,0.23
FC1=C(Br)C=C(F)C(Br)=C1,0.91,0.91,0.92,0.92,0.91,0.93
FC1=C(Br)C=C(F)C(Br)=C1,0.58,0.94,0.93,0.74,0.96,0.95
C1=C(C(=CC(=C1Br)F)Br)F,0.45,0.42,0.40,0.58,0.48,0.49
C1=C(C(=CC(=C1[N+](=O)[O-])F)F)[N+](=O)[O-],0.74,0.63,0.63,0.74,0.62,0.53
C1=CC2=C(C=C1Br)C(=O)C(=O)N2,0.58,0.55,0.54,0.62,0.55,0.52
O=[N+](C1=C(F)C=C(F)C([N+]([O-])=O)=C1)[O-],0.82,0.74,0.69,0.77,0.68,0.61
COC1=CC=C(OC)C(CO)=C1,0.63,0.56,0.64,0.74,0.73,0.75
O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,0.72,0.68,0.69,0.79,0.75,0.73
O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,0.87,0.86,0.78,0.92,0.92,0.87
CCCCN1CCCC1=O,0.76,0.75,0.77,0.83,0.81,0.84
COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)OC,0.60,0.38,0.56,0.60,0.43,0.40
O=C(C1=CC(Br)=C(O)C(Br)=C1)C2=C(OC3=C2C=CC=C3)CC,1.00,1.00,1.00,1.00,1.00,1.00
CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,0.97,0.98,0.98,0.97,0.98,0.99
FC1=CC=C(F)C([N+]([O-])=O)=C1,0.44,0.44,0.35,0.56,0.56,0.50
FC1=CC=C(F)C([N+]([O-])=O)=C1,0.45,0.45,0.39,0.58,0.56,0.51
C1=CC=NC(=C1)C2=CC=CC=N2,0.58,0.56,0.57,0.71,0.70,0.72
C1=C(C=C(C=C1N)N)C(F)(F)F,0.79,0.77,0.79,0.85,0.82,0.82
NC1=CC=C(F)C=C1,0.27,0.28,0.33,0.26,0.25,0.24
